Town,Population_young,at_least_one_young,percent_young,Population_old,at_least_one_old,percent_old,percent_difference,absolute_growth_apr_22,percent_growth_apr_22
Dighton,2845,1122,39.43760984182777,3015,1978,65.60530679933666,26.167696957508888,214,7.345580241732172
West Springfield,11635,3571,30.69187795444779,11332,6802,60.02470878926933,29.332830834821536,855,7.453540756305287
Dalton,2128,898,42.19924812030075,2974,2276,76.5299260255548,34.33067790525405,188,7.471077660526575
Templeton,3217,1011,31.42679515076157,3713,2255,60.732561271209256,29.30576612044768,261,7.490279597154235
Plymouth,22231,8980,40.394044352480776,27298,21041,77.07890687962487,36.68486252714409,1849,7.536535358810937
Springfield,65332,16137,24.69999387742607,45955,28257,61.488412577521494,36.78841870009542,4038,7.570280916894973
Longmeadow,4524,2519,55.68081343943414,6991,5450,77.95737376627092,22.27656032683678,412,7.593740897890584
Hinsdale (includes Peru),921,320,34.74484256243214,1560,919,58.910256410256395,24.165413847824265,96,7.621523427712326
South Hadley,7014,2567,36.59823210721415,7064,5160,73.04643261608153,36.44820050886738,537,7.6314932019152195
Pittsfield,15771,6666,42.267452919916295,18853,14028,74.40725613960643,32.139803219690144,1307,7.652990367831649
Beverly,16405,8110,49.43614751600121,15850,12703,80.14511041009462,30.708962894093407,1239,7.6642075538637755
North Adams (includes Clarksburg),5711,1633,28.593941516371913,5715,4135,72.35345581802275,43.759514301650846,439,7.68413797688703
Lawrence,37434,10843,28.96564620398568,23557,16065,68.19628985015069,39.23064364616501,2363,7.746042424657631
Montague,3205,1170,36.505460218408736,3695,2523,68.28146143437077,31.776001215962033,265,7.755262307921285
Townsend,3181,1223,38.447029236089286,3763,2633,69.97076800425192,31.52373876816264,270,7.758579855160804
Merrimac,2069,1020,49.29917834702755,2996,2325,77.60347129506006,28.30429294803251,196,7.768340710120327
Palmer,4458,1388,31.135038133692237,4994,3112,62.31477773327993,31.179739599587695,368,7.770904268612682
Abington,7536,3093,41.04299363057325,6524,4572,70.07970570202329,29.036712071450037,554,7.872150322636912
Greenfield (includes Leyden),6490,2827,43.559322033898304,7790,5575,71.56611039794608,28.00678836404777,558,7.8907215801539365
Orange,3010,782,25.98006644518273,3265,2109,64.59418070444104,38.614114259258315,250,7.916439840653666
Webster,6556,1807,27.56253813300793,6907,4057,58.7375126683075,31.17497453529957,535,7.9193959528373625
New Salem,212,56,26.41509433962264,482,365,75.72614107883817,49.31104673921553,28,7.922962499021381
Oxford,4913,1758,35.78261754528801,5545,3633,65.51848512173129,29.73586757644328,419,7.9484197259548
Yarmouth,6987,3009,43.06569343065693,13216,10300,77.9358353510896,34.870141920432665,723,7.993536552317323
Bridgewater,12539,4697,37.45912752213096,9804,7134,72.76621787025704,35.307090348126074,892,8.010399637992776
Lancaster,3830,1089,28.433420365535248,3064,2187,71.37728459530027,42.943864229765026,273,8.054830287206272
Worthington,194,74,38.14432989690722,660,486,73.63636363636363,35.492033739456396,34,8.063105279600123
Gardner,7773,2761,35.52039109738839,7892,5919,75.0,39.47960890261161,634,8.089901630326665
Ashby,1243,360,28.962188254223648,1418,921,64.950634696756,35.98844644253235,109,8.103886702061878
Stockbridge,461,242,52.4945770065076,1046,842,80.49713193116635,28.002554924658757,56,8.144029730032372
Kingston,4668,2239,47.96486718080549,5918,4294,72.5582967218655,24.593429541060015,422,8.153403570591877
