Town,Population_young,at_least_one_young,percent_young,Population_old,at_least_one_old,percent_old,percent_difference,absolute_growth_apr_22,percent_growth_apr_22
Great Barrington (includes Alford),2232,1514,67.831541218638,3486,3707,106.33964429145149,38.508103072813505,335,12.333589349718352
Plainfield,107,51,47.66355140186916,323,234,72.44582043343655,24.78226903156739,24,12.430195885535724
Hopedale,1982,1035,52.21997981836529,2262,1883,83.2449160035367,31.02493618517141,264,12.545446596735786
Stow,2271,1272,56.0105680317041,3170,2553,80.53627760252367,24.52570957081957,324,12.59348776994807
Becket (includes Washington),661,237,35.854765506807865,1231,751,61.007311129163284,25.152545622355422,114,12.69327054127428
Millis,2703,1617,59.82241953385128,3334,2945,88.33233353329334,28.509913999442052,379,12.726100728799835
Franklin,12357,5909,47.81904993121307,12197,9910,81.24948757891283,33.43043764769976,1566,12.749200530215518
Mendon,1852,997,53.833693304535636,2459,1868,75.96583977226516,22.13214646772952,277,12.837533387731597
Wrentham,3616,2052,56.74778761061947,4875,4183,85.8051282051282,29.05734059450873,537,12.922311095983659
Melrose,10990,6953,63.26660600545953,11428,8825,77.22261113055653,13.956005125097,1443,12.960977666717753
Holliston,4515,2843,62.96788482834993,5769,4963,86.0287744843127,23.060889655962768,649,13.112943565361633
Plainville,3668,1552,42.31188658669575,3432,2776,80.88578088578089,38.57389429908514,466,13.163776427135232
Petersham,355,145,40.84507042253522,659,483,73.2928679817906,32.44779755925537,64,13.220201329372301
Bedford,5107,2675,52.379087526923826,6384,4701,73.6372180451128,21.258130518188977,735,13.224802509504656
Medway,4538,2446,53.90039665050684,5237,4224,80.65686461714722,26.756467966640376,642,13.244241464919796
Royalston,270,102,37.77777777777778,619,418,67.52827140549273,29.750493627714953,51,13.250762879195847
West Stockbridge,254,191,75.1968503937008,756,562,74.33862433862434,-0.8582260550764573,45,13.272299295921371
Eastham,876,568,64.84018264840182,3210,2696,83.98753894080997,19.147356292408148,190,13.306234797081046
Watertown,15074,9489,62.94944938304365,12234,9624,78.6660127513487,15.716563368305053,1907,13.387043188972441
Quincy,46744,22298,47.70237891494096,36610,27286,74.53154875717017,26.82916984222921,5791,13.467711617049659
Westwood,4018,3122,77.70034843205575,6590,5544,84.12746585735964,6.427117425303892,650,13.496277373971921
Weston,2940,1917,65.20408163265307,4964,4018,80.94278807413377,15.738706441480698,474,13.612239416314495
Wayland,3935,2797,71.08005082592122,5903,5103,86.44756903269524,15.367518206774022,612,13.61254727798692
Bolton,1519,995,65.50362080315998,2169,1852,85.38497003227295,19.881349229112967,232,13.61600456003579
Winchester,6882,4380,63.64428945074106,8947,7497,83.79345031854253,20.149160867801466,1044,13.70107547020335
Orleans,1096,780,71.16788321167883,3917,3652,93.23461833035486,22.06673511867604,255,13.738308962057587
Williamstown,2688,966,35.9375,2950,2049,69.45762711864407,33.52012711864407,380,13.799889023405981
Newton,32193,20648,64.13816668219799,34870,32933,94.44508173214795,30.306915049949964,4642,14.056331333520191
Carlisle,1261,877,69.54797779540047,2308,2048,88.73483535528595,19.186857559885482,214,14.05671683638056
Natick,13491,8071,59.82506856422801,13994,11571,82.68543661569244,22.86036805146443,1920,14.062527427518603
Needham,8582,6911,80.52901421580052,12180,11322,92.9556650246305,12.42665080882999,1356,14.100107951151415
Truro,442,286,64.70588235294117,1290,1194,92.55813953488372,27.852257181942548,90,14.115542460275691
Wellfleet,742,422,56.873315363881396,1686,1640,97.27164887307235,40.39833350919096,146,14.168049547086653
Littleton,3109,1983,63.7825667417176,4269,3312,77.58257203092059,13.800005289202984,492,14.216865309390883
Somerville,46823,28015,59.83170663989922,17692,12945,73.16866380284873,13.336957162949517,5557,14.414095455203253
Westford,7487,4861,64.9258715106184,9580,7760,81.00208768267224,16.076216172053833,1193,14.527775771671585
Cambridge,68678,33714,49.08995602667522,25247,21241,84.13276824969303,35.042812223017805,8197,14.530377665340737
West Tisbury,855,367,42.92397660818714,1467,834,56.85071574642127,13.926739138234133,153,14.918379794065942
Boxborough,1772,1088,61.39954853273137,2204,1757,79.71869328493649,18.319144752205123,291,15.238556615716178
Sudbury,5013,3563,71.07520446838221,7442,6578,88.39021768341844,17.31501321503623,884,15.355340827634762
Cohasset,1982,1497,75.5297679112008,3243,2854,88.00493370336109,12.475165792160285,362,15.360850180144283
Wellesley,9875,5488,55.574683544303795,10266,9053,88.18429768166763,32.609614137363835,1568,15.686021696296223
Northborough,4477,3148,70.31494304221577,5907,5204,88.09886575249702,17.783922710281246,774,15.704018344952814
Medfield,3260,2523,77.39263803680981,4751,4154,87.43422437381605,10.041586337006237,596,15.827413795997757
Southborough,2986,2212,74.07903549899531,4236,3356,79.22568460812087,5.146649109125562,538,16.011278949229222
Westborough,7305,4461,61.06776180698152,6863,6057,88.25586478216525,27.188102975183725,1169,16.30690138461331
Chilmark (includes Aquinnah),281,233,82.91814946619219,554,608,109.74729241877256,26.82914295258037,57,16.952734560684547
Acton,8050,4781,59.39130434782609,9440,7840,83.0508474576271,23.65954310980101,1479,17.33920675860614
Arlington,17589,11318,64.3470350787424,18200,14474,79.52747252747254,15.180437448730144,3140,17.683722781283777
Chelsea,17914,8870,49.514346321312935,9424,7559,80.21010186757215,30.695755546259214,2558,17.75938823350117
Lexington,10102,6454,63.88833894278361,15198,12307,80.97776023160942,17.08942128882581,2087,18.113436134739246
Williamsburg,745,528,70.87248322147651,1251,1522,121.66266986410872,50.79018664263221,176,18.140655261026126
Hopkinton,5622,3791,67.43151903237282,6134,5407,88.14802738832735,20.71650835595453,1059,18.306679114851917
Nantucket,4860,3030,62.34567901234568,3970,3671,92.46851385390428,30.12283484155861,845,18.429320728509083
Dover,1293,1073,82.98530549110596,2351,2064,87.79242875372181,4.807123262615846,309,19.02529176671294
Belmont,10085,6140,60.88249876053546,10124,8441,83.37613591465824,22.493637154122773,1934,19.154420730781638
Sherborn,1016,787,77.46062992125984,1733,1562,90.13271783035201,12.672087909092168,245,19.91982861634507
Cummington,215,126,58.6046511627907,412,364,88.34951456310681,29.744863400316106,71,20.60187723768668
Edgartown,1420,798,56.19718309859154,1849,1694,91.61709031909142,35.419907220499866,323,20.8674654742952
Shelburne,640,526,82.1875,878,1467,167.08428246013668,84.89678246013669,167,22.324174259681087
Provincetown,603,576,95.52238805970148,1784,2067,115.86322869955157,20.340840639850086,232,26.178524418267386
Tisbury,1533,1164,75.92954990215264,1772,2512,141.7607223476298,65.83117244547715,476,29.58093500549981
